1340,2105,1974,,,,
1866,1760,1471,,,,
1729,1652,1447,,,,
1625,1517,1676,,,,
1909,1804,1791,,,,
1619,1711,1714,,,,
1565,1753,1548,,,,
1582,1704,1774,,,,
1741,1681,1752,,,,
1869,1989,1735,,,,
1352,1466,1946,,,,
1361,1599,1879,,,,
1373,1646,1517,,,,
1487,1717,1763,,,,
1672,1063,1770,,,,
1879,1571,454,,,,
1626,1668,1325,,,,
1348,1660,1676,,,,
1622,1675,1743,,,,
1309,1996,1665,,,,
1419,1509,1978,,,,
1249,1581,1732,,,,
1875,1554,696,,,,
1604,1646,1802,,,,
1430,1821,1935,,,,
1376,1485,1501,,,,
1741,1684,1548,,,,
1738,1811,1772,,,,
1804,1686,1664,,,,
1396,1821,1689,,,,
1397,1836,1600,,,,
1610,1922,1300,,,,
1450,1637,1798,,,,
1501,2131,1682,,,,
1725,1341,1838,,,,
1448,1585,1563,,,,
1728,1440,1816,,,,
1447,1872,2181,,,,
1751,1516,1591,,,,
1372,2005,1881,,,,
1273,1617,1686,,,,
1570,1651,1265,,,,
1507,1864,1429,,,,
1957,1679,1649,,,,
1394,2066,1691,,,,
1812,1750,1652,,,,
1693,1481,1606,,,,
1697,1478,1839,,,,
1757,1683,1454,,,,
1565,1418,1343,,,,
1441,1783,1498,,,,
1619,1604,1650,,,,
1516,1387,1637,,,,
1451,1903,1489,,,,
1655,1515,1671,,,,
1832,1630,1123,,,,
1704,2026,1573,,,,
1533,1613,1661,,,,
1401,1638,2034,,,,
1664,1737,1545,,,,
1556,1726,1779,,,,
1537,1234,1583,,,,
1591,1420,1632,,,,
1489,1762,1714,,,,
1627,1778,1783,,,,
1572,1710,1897,,,,
1599,1547,1722,,,,
1737,1633,1773,,,,
1607,1416,1588,,,,
1813,1676,1404,,,,
1603,2013,1641,,,,
1822,1328,1818,,,,
1542,1313,1420,,,,
1355,1422,1649,,,,
1248,1340,1909,,,,
1642,1642,1609,,,,
1694,1419,1956,,,,
1516,1516,2038,,,,
1420,1587,1613,,,,
1484,1243,2024,,,,
1520,1421,1675,,,,
1691,1601,1702,,,,
1574,1522,1719,,,,
1754,1481,1575,,,,
1682,2130,1744,,,,
